element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Br,1,138.4598,0.0004,138.4595+,12000,5.e+08,E,3685.24,75908.53,4s2.4p5,2P*,1/2,4s2.4p4.(1D<2>).5s,2[2],3/2,,T8844,L351,
Br,3,140.29,0.10,,250,,,,,,,,,,,,,L7483,
Br,5,142.975,0.010,,150,,,,,,,,,,,,,L930,
Br,5,144.260,0.010,,400,,,,,,,,,,,,,L930,
Br,1,144.9903,0.0004,144.9901+,3000,9.e+08,E,0.00,68970.21,4s2.4p5,2P*,3/2,4s2.4p4.(3P<0>).5s,2[0],1/2,,T8844,L351,
Br,5,147.035,0.010,,150,,,,,,,,,,,,,L930,
Br,4,147.3561,0.0010,147.355+,150,,,16190.4,84053.7,4s2.4p2,1D,2,4s.4p3,5S,2,,,L1157,
Br,1,148.8452,0.0004,148.8459+,50000,2.0e+08,D+,0.00,67183.58,4s2.4p5,2P*,3/2,4s2.4p4.(3P<1>).5s,2[1],3/2,,T3064,L351,
Br,4,150.8025,0.0010,150.792+,120,,,159512.7,225829.0,4s2.4p.4d,3F,3,4s2.4p.5p,1D,2,,,L1157,
Br,1,153.1743,0.0004,153.1746+,30000,6.e+08,E,3685.24,68970.21,4s2.4p5,2P*,1/2,4s2.4p4.(3P<0>).5s,2[0],1/2,,T8844,L351,
Br,1,154.0654,0.0004,154.0661+,25000,2.2e+08,D+,0.00,64907.19,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).5s,2[2],3/2,,T3064,L351,
Br,1,157.4841,0.0004,157.4844+,30000,2.0e+07,D+,3685.24,67183.58,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).5s,2[1],3/2,,T3064,L351,
Br,1,157.6387,0.0004,157.6381+,20000,5.7e+06,D+,0.00,63436.45,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).5s,2[2],5/2,,T3064,L351,
Br,1,158.2312,0.0004,158.2313+,25000,5.e+07,E,3685.24,66883.87,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).5s,2[1],1/2,,T8844,L351,
Br,4,159.3830,0.0010,159.374+,700,,,163083.5,225829.0,4s2.4p.4d,3F,2,4s2.4p.5p,1D,2,,,L1157,
Br,4,161.5890,0.0010,161.585+,700,,,159512.7,221399.8,4s2.4p.4d,3F,3,4s2.4p.5p,3P,2,,,L1157,
Br,1,163.3404,0.0004,163.3401+,75000,2.3e+07,D+,3685.24,64907.19,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).5s,2[2],3/2,,T3064,L351,
Br,4,164.3988,0.0010,164.394+,900,,,159512.7,220342.0,4s2.4p.4d,3F,3,4s2.4p.5p,3D,3,,,L1157,
Br,4,170.3506,0.0010,170.345+,1000,,,161637.6,220342.0,4s2.4p.4d,3F,4,4s2.4p.5p,3D,3,,,L1157,
Br,4,174.6459,0.0010,174.647+,600,,,163083.5,220342.0,4s2.4p.4d,3F,2,4s2.4p.5p,3D,3,,,L1157,
Br,4,177.2420,0.0010,177.225+,30,,,169403.5,225829.0,4s2.4p.4d,3D,2,4s2.4p.5p,1D,2,,,L1157,
Br,4,180.0257,0.0010,180.026+,800,,,167356.6,222904.2,4s2.4p.4d,3D,1,4s2.4p.5p,3S,1,,,L1157,
Br,4,186.6495,0.0010,186.657+,100,,,172254.9,225829.0,4s2.4p.4d,3D,3,4s2.4p.5p,1D,2,,,L1157,
Br,4,192.3198,0.0010,192.321+,700,,,169403.5,221399.8,4s2.4p.4d,3D,2,4s2.4p.5p,3P,2,,,L1157,
Br,4,194.2712,0.0010,194.260+,150,,,167356.6,218834.0,4s2.4p.4d,3D,1,4s2.4p.5p,3P,1,,,L1157,
Br,4,200.8221,0.0010,200.843+,10,,,176054.9,225829.0,4s2.4p.4d,3P,2,4s2.4p.5p,1D,2,,,L1157,
Br,4,202.2069,0.0010,202.239+,10,,,169403.5,218834.0,4s2.4p.4d,3D,2,4s2.4p.5p,3P,1,,,L1157,
Br,4,202.3885,0.0010,202.403+,800,,,216047.5,265438.0,4s2.4p.5p,3D,1,4s2.4p.6s,1P,1,,,L1157,
Br,4,202.8526,0.0010,202.847+,600,,,216155.6,265438.0,4s2.4p.5p,3P,0,4s2.4p.6s,1P,1,,,L1157,
Br,4,203.4291,0.0010,203.415+,800,,,172254.9,221399.8,4s2.4p.4d,3D,3,4s2.4p.5p,3P,2,,,L1157,
