element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ga,4,56.3854,0.0010,56.386+,30,,,236311.9,413661,3d9.4p,1P*,1,3d9.6s,"(5/2,1/2)",2,,,L12180,
Ga,4,56.4745,0.0010,56.474+,5,,,233192.3,410264,3d9.4p,1F*,3,3d9.5d,1D,2,,,L12180,
Ga,4,56.4882,0.0010,56.49*,50,,,233192.3,410220,3d9.4p,1F*,3,3d9.5d,3F,4,,,L12180,
Ga,4,56.4989,0.0010,56.499+,35,,,236906.5,413902,3d9.4p,3D*,1,3d9.5d,3F,2,,,L12180,
Ga,4,56.5336,0.0010,56.534+,30,,,236311.9,413198,3d9.4p,1P*,1,3d9.5d,3D,2,,,L12180,
Ga,4,56.5937,0.0010,56.59*,35,,,236311.9,413010,3d9.4p,1P*,1,3d9.5d,3D,1,,,L12180,
Ga,4,56.6500,0.0010,56.650+,30,,,233192.3,409716,3d9.4p,1F*,3,3d9.5d,3D,3,,,L12180,
Ga,4,56.6763,0.0010,56.677+,40*,,,233824.7,410264,3d9.4p,1D*,2,3d9.5d,1D,2,,,L12180,
Ga,4,56.6763,0.0010,56.675+,40*,,,237458.0,413902,3d9.4p,3D*,2,3d9.5d,3F,2,,,L12180,
Ga,4,56.6975,0.0010,56.698+,50,,,237458.0,413832,3d9.4p,3D*,2,3d9.5d,3F,3,,,L12180,
Ga,4,56.7265,0.0010,56.727+,70*,,,233824.7,410107,3d9.4p,1D*,2,3d9.5d,1F,3,,,L12180,
Ga,4,56.7265,0.0010,56.724+,70*,,,236906.5,413198,3d9.4p,3D*,1,3d9.5d,3D,2,,,L12180,
Ga,4,56.7520,0.0010,56.753+,30,,,237458.0,413661,3d9.4p,3D*,2,3d9.6s,"(5/2,1/2)",2,,,L12180,
Ga,4,56.7764,0.0010,56.777+,45,,,233192.3,409319,3d9.4p,1F*,3,3d9.5d,3P,2,,,L12180,
Ga,4,56.7856,0.0010,56.78*,40,,,236906.5,413010,3d9.4p,3D*,1,3d9.5d,3D,1,,,L12180,
Ga,4,56.8405,0.0010,56.840+,15,,,236311.9,412243,3d9.4p,1P*,1,3d9.5d,3P,1,,,L12180,
Ga,4,56.9050,0.0010,56.906+,40*,,,237458.0,413187,3d9.4p,3D*,2,3d9.6s,"(5/2,1/2)",3,,,L12180,
Ga,4,56.9050,0.0010,56.902+,40*,,,237458.0,413198,3d9.4p,3D*,2,3d9.5d,3D,2,,,L12180,
Ga,4,56.9634,0.0010,56.96*,10,,,237458.0,413010,3d9.4p,3D*,2,3d9.5d,3D,1,,,L12180,
Ga,4,56.9872,0.0010,56.987+,20,,,233824.7,409303,3d9.4p,1D*,2,3d9.5d,1P,1,,,L12180,
