element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Al,3,360.1628,360.1630,0.0010,14,1.31e+08,A+,115956.21,143713.50,2p6.3d,2D,5/2,2p6.4p,2P*,3/2,,c32,L277,
Al,3,360.1926,360.1927,0.0010,11,1.46e+07,A+,115958.50,143713.50,2p6.3d,2D,3/2,2p6.4p,2P*,3/2,,c32,L277,
Al,3,361.2356,361.2355,0.0010,13,1.45e+08,A+,115958.50,143633.38,2p6.3d,2D,3/2,2p6.4p,2P*,1/2,,c32,L277,
Al,4,363.886,363.887,0.010,50,,,827799.5,855272.7,2s2.2p5.(2P*<3/2>).4p,2[1/2],0,2s2.2p5.(2P*<3/2>).4d,2[3/2]*,1,,,L2829,
Al,2,364.9184,364.9204+,0.0019,10,,,105427.52,132822.95,3s.4p,3P*,0,3s.5d,3D,1,,,L3515c14,
Al,2,364.9200,364.9204,0.0010,15hfs,1.26e+07,C+,105427.52,132822.95,3s.4p,3P*,0,3s.5d,3D,1,,"T6298c4,LS",L3515c150,
Al,2,364.9232,364.9204+,0.0019,5,,,105427.52,132822.95,3s.4p,3P*,0,3s.5d,3D,1,,,L3515c14,
Al,2,365.1065,365.1087+,0.0019,40,,,105441.50,132822.80,3s.4p,3P*,1,3s.5d,3D,2,,,L3515c14,
Al,2,365.1078,365.1087,0.0010,70hfs,1.70e+07,C+,105441.50,132822.80,3s.4p,3P*,1,3s.5d,3D,2,,"T6298c4,LS",L3515c150,
Al,2,365.1096,365.1087+,0.0019,30,,,105441.50,132822.80,3s.4p,3P*,1,3s.5d,3D,2,,,L3515c14,
Al,2,365.4981,365.5004+,0.0019,35,,,105470.93,132822.89,3s.4p,3P*,2,3s.5d,3D,3,,,L3515c14,
Al,2,365.4991,365.5004,0.0010,85hfs,2.26e+07,B,105470.93,132822.89,3s.4p,3P*,2,3s.5d,3D,3,,"T6298c4,LS",L3515c150,
Al,2,365.4998,365.5004+,0.0019,50,,,105470.93,132822.89,3s.4p,3P*,2,3s.5d,3D,3,,,L3515c14,
Al,2,365.6319,365.6309,0.0010,2,,,121483.50,148825.7,3s.4d,3D,3,3s.12f,3F*,4,,,L3471,
Al,3,365.83,365.8790,0.0010,1d*,,,189928.49,217252.15,2p6.5g,2G,7/2,2p6.9h,2H*,9/2,,,L3473,
Al,4,366.201,366.203,0.010,1,,,825739.6,853039.1,2s2.2p5.(2P*<3/2>).4p,2[3/2],2,2s2.2p5.(2P*<3/2>).4d,2[7/2]*,3,,,L2829,
Al,4,366.288,366.295,0.010,2,,,825277.9,852570.5,2s2.2p5.(2P*<3/2>).4p,2[3/2],1,2s2.2p5.(2P*<3/2>).4d,2[3/2]*,2,,,L2829,
Al,3,370.2106,370.2106,0.0010,10,1.13e+08,A+,143633.38,170637.35,2p6.4p,2P*,1/2,2p6.5s,2S,1/2,,c32,L277,
Al,2,370.3219,370.3225,0.0010,30,3.23e+07,B+,106920.56,133916.368,3s.4p,1P*,1,3s.5d,1D,2,,T6533,L4575,
